K8,粮库范围线,粮库范围线 绘制命令,农业设施,CmLkFyx,粮库范围线.png
K9,水磨房、水车,水磨房、水车 绘制命令,农业设施,CmSmfSc,水磨房、水车.png
K10,风磨房、风车,风磨房、风车 绘制命令,农业设施,CmFmfFc,风磨房、风车.png
K11,农业及其设施名称注记,农业及其设施名称注记 绘制命令,农业设施,CmNyssMczj,农业及其设施名称注记.png
K12,农业及其设施性质注记,农业及其设施性质注记 绘制命令,农业设施,CmNyssXzzj,农业及其设施性质注记.png
K13,水产养殖场性质注记,农业及其设施性质注记 绘制命令,农业设施,CmScyzcXzzj,水产养殖场性质注记.png
L1,电视发射塔,电视发射塔 绘制命令,公共服务设施,CmDsFst,电视发射塔.png
L2,移动通信塔,移动通信塔 绘制命令,公共服务设施,CmYdTxt,移动通信塔.png
L3,微波传送塔,微波传送塔 绘制命令,公共服务设施,CmWbCst,微波传送塔.png
L4,公共服务及其设施名称注记,公共服务及其设施名称注记 绘制命令,公共服务设施,CmGgfwssMczj,公共服务及其设施名称注记.png
L5,公共服务及其设施性质注记,公共服务及其设施性质注记 绘制命令,公共服务设施,CmGgfwssXzzj,公共服务及其设施性质注记.png
M1,纪念碑、柱、墩,纪念碑、柱、墩 绘制命令,名胜古迹,CmJnbzd,纪念碑、柱、墩.png
M2,牌楼、牌坊,牌楼、牌坊 绘制命令,名胜古迹,CmPlPf,牌楼、牌坊.png
M3,亭,亭 绘制命令,名胜古迹,CmTing,亭.png
M4,文物碑石,文物碑石 绘制命令,名胜古迹,CmWwbs,文物碑石.png
M5,碉堡、地堡,碉堡、地堡 绘制命令,名胜古迹,CmDbdb,碉堡、地堡.png
M6,名胜古迹注记,名胜古迹注记 绘制命令,名胜古迹,CmMsgjZj,名胜古迹注记.png
N1,水文站、验潮站,水文站、验潮站 绘制命令,科学观测站,CmSwzYcz,水文站、验潮站.png
N2,环保监测站,环保监测站 绘制命令,科学观测站,CmHbJcz,环保监测站.png
N3,卫星地面站,卫星地面站 绘制命令,科学观测站,CmWxDmz,卫星地面站.png
N4,科学试验站,科学试验站 绘制命令,科学观测站,CmKxSyz,科学试验站.png
N5,科学观测站注记,科学观测站注记 绘制命令,科学观测站,CmKxgcZj,科学观测站注记.png
O1,围墙,围墙 绘制命令,其他建筑物,CmWeiqiang,围墙.png
O2,栅栏,栅栏 绘制命令,其他建筑物,CmZhalan,栅栏.png
O3,篱笆,篱笆 绘制命令,其他建筑物,CmLiba,篱笆.png
O4,铁丝网、电网,铁丝网、电网 绘制命令,其他建筑物,CmTswDw,铁丝网、电网.png
O5,依比例地下建筑物出入口边线,依比例地下建筑物出入口边线 绘制命令,其他建筑物,CmYblDxjzCrk,依比例地下建筑物出入口边线.png
O6,依比例地下建筑物入口符号,依比例地下建筑物入口符号 绘制命令,其他建筑物,CmYblDxjzCrkFh,依比例地下建筑物入口符号.png
O7,不依比例地下建筑物入口,不依比例地下建筑物入口 绘制命令,其他建筑物,CmByblDxjzCrk,不依比例地下建筑物入口.png
O8,依比例台阶,依比例台阶 绘制命令,其他建筑物,CmYblTaijie,依比例台阶.png
O9,不依比例台阶,不依比例台阶 绘制命令,其他建筑物,CmByblTaijie,不依比例台阶.png
O10,其他建筑物及其设施注记,其他建筑物及其设施注记 绘制命令,其他建筑物,CmQtjzwZj,其他建筑物及其设施注记.png
P1,国道,国道 绘制命令,道路交通设施,CmGuodao,国道.png
P2,省道,省道 绘制命令,道路交通设施,CmShengdao,省道.png
P3,县道,县道 绘制命令,道路交通设施,CmXiandao,县道.png
P4,乡道,乡道 绘制命令,道路交通设施,CmXiangdao,乡道.png
P5,专用公路,专用公路 绘制命令,道路交通设施,CmZygl,专用公路.png
P6,城际公路名称注记,城际公路名称注记 绘制命令,道路交通设施,CmCjglMczj,城际公路名称注记.png
P7,城际公路性质注记,城际公路性质注记 绘制命令,道路交通设施,CmCjglXzzj,城际公路性质注记.png
P8,地铁,地铁 绘制命令,道路交通设施,CmDitie,地铁.png
P9,轻轨,轻轨 绘制命令,道路交通设施,CmQinggui,轻轨.png
P10,城市道路名称注记,城市道路名称注记 绘制命令,道路交通设施,CmCsdlMczj,城市道路名称注记.png
P11,城市道路性质注记,城市道路性质注记 绘制命令,道路交通设施,CmCsdlXzzj,城市道路性质注记.png
P12,乡村路,乡村路 绘制命令,道路交通设施,CmXcl,乡村路.png
P13,小路,小路 绘制命令,道路交通设施,CmXiaolu,小路.png
P14,乡村道路名称注记,乡村道路名称注记 绘制命令,道路交通设施,CmXcdlMczj,乡村道路名称注记.png
P15,乡村道路性质注记,乡村道路性质注记 绘制命令,道路交通设施,CmXcdlXzzj,乡村道路性质注记.png
P16,地铁站,地铁站 绘制命令,道路交通设施,CmDtz,地铁站.png
P17,轻轨站,轻轨站 绘制命令,道路交通设施,CmQgz,轻轨站.png
P18,依比例车行桥,依比例车行桥 绘制命令,道路交通设施,CmYblCxq,依比例车行桥.png
P19,不依比例车行桥,不依比例车行桥 绘制命令,道路交通设施,CmByblCxq,不依比例车行桥.png
P20,依比例人行桥,依比例人行桥 绘制命令,道路交通设施,CmYblRxq,依比例人行桥.png
P21,不依比例人行桥,不依比例人行桥 绘制命令,道路交通设施,CmByblRxq,不依比例人行桥.png
P22,栈桥边线,栈桥边线 绘制命令,道路交通设施,CmZhanqiao,栈桥边线.png
P23,汽车隧道边线,汽车隧道边线 绘制命令,道路交通设施,CmQcSdbx,汽车隧道边线.png
P24,汽车隧道出入口,汽车隧道出入口 绘制命令,道路交通设施,CmQcSdcrk,汽车隧道出入口.png
P25,汽车地铁隧道边线,汽车地铁隧道边线 绘制命令,道路交通设施,CmQcdtSdbx,汽车地铁隧道边线.png
P26,汽车地铁隧道出入口,汽车地铁隧道出入口 绘制命令,道路交通设施,CmQcdtSdcrk,汽车地铁隧道出入口.png
P27,公路零公里标志,公路零公里标志 绘制命令,道路交通设施,CmGlLcbz,公路零公里标志.png
P28,路标,路标 绘制命令,道路交通设施,CmLubiao,路标.png
P29,里程碑,里程碑 绘制命令,道路交通设施,CmLichengbei,里程碑.png
P30,98里程碑,98里程碑 绘制命令,道路交通设施,Cm98Lichengbei,98里程碑.png
P31,03里程碑,03里程碑 绘制命令,道路交通设施,Cm03Lichengbei,03里程碑.png
P32,08里程碑,08里程碑 绘制命令,道路交通设施,Cm08Lichengbei,08里程碑.png
P33,13里程碑,13里程碑 绘制命令,道路交通设施,Cm13Lichengbei,13里程碑.png
P34,18里程碑,18里程碑 绘制命令,道路交通设施,Cm18Lichengbei,18里程碑.png
P35,23里程碑,23里程碑 绘制命令,道路交通设施,Cm23Lichengbei,23里程碑.png
P36,道路构造物及附属设施名称注记,道路构造物及附属设施名称注记 绘制命令,道路交通设施,CmDlgzwMczj,道路构造物及附属设施名称注记.png
